uspokoić się; calm down; beruhigen
przebierać się; dress up; verkleiden
wstydliwy; shy; schüchtern
roztrzęsiony; jittery; nervös
zabawny; funny; lustig
pochmurno; cloudly; bewölkt
denerwujący; irritating; irritierend
dumny; proud; stolz
ciekawski; inquisitive; neugierig
przerażający; frightening; erschreckend
porażka; defeat; die niederlage
humorzasty; moody; launisch
przychodnia; clinic; die klinik
warunek; condition; die bedingung
zegarmistrz; watchmaker; der uhrmacher
jasność; brightness; die helligkeit
zamiar; intention; die absicht
intensywność; intensity; die intensität
ostrość; sharpness; die schärfe
dźwięk; sound; der ton
obecność; presence; die gegenwart
wysiłek; effort; die anstrengung
widelec; fork; die gabel
rozdzielać; split; teilen
slice; kroić; schneiden
wynaleźć; invent; erfinden
podział; division; die aufteilung
zaspać; oversleep; verschlafen
nieostrożny; careless; leichtsinnig
dowodzić; command; befehlen
niszczyć; destroy; zerstören
perspektywa; perspective; der perspektive
zdenerwowany; upset; verärgert
wiewiórka; squirrel; das eichhörnchen
zlecać; commision; beauftragen
szanować; respect; respektieren
porównać; compare; vergleichen
gardzić; despise; verachten
chronić; protect; schützen
opór; resistance; der widerstand
wzdychać; sigh; seufzen
zdolność; ability; die fähigkeit
wyspa; island; die insel
wiedza; knowledge; das wissen
marionetka; puppet; die marionette
miotła; broom; die besen
próba; attempt; der versuch
mglisty; misty; nebelhaft
wyrafinowany; sophisticated; anspruchsvoll
przeznaczenie; destination; das reiseziel
